booking id,booking_date_time,gender,month,day_of_week,time_of_day,distance_travelled,time_taken,reason,toll,category,commission_base_cost,driver_base_cost,total_tax,total_trip_cost,ratings
1890061540,29-05-2018 22:04,Male,May,Tue,22:04:00,17,58,Office to/from Home,0,Mini,57.73,230.91,21.94,311,3
1542148932,22-02-2018 22:12,Female,February,Thu,22:12:00,18,43,Late Night Ride,0,Mini,52.04,208.16,19.76,279.96,5
1672692603,04-04-2018 21:11,Female,April,Wed,21:11:00,2,5,Office to/from Home,0,Prime,19.7,78.81,7.49,106,5
1925600201,07-06-2018 22:23,Female,June,Thu,22:23:00,15,49,Office to/from Home,35,Micro,51.24,239.96,21.22,312,5
1530845664,19-02-2018 11:31,Male,February,Mon,11:31:00,46,0,Office Event,0,Prime Rentals,195.92,783.68,74.45,1054.05,4
1773316272,30-04-2018 21:24,Male,April,Mon,21:24:00,30,91,Office to/from Home,35,Micro,132.71,565.86,52.18,751,4
1602927461,14-03-2018 01:56,Male,March,Wed,01:56:00,4,4,Office to/from Home,0,Micro,19.44,77.74,7.39,104.57,3
1915119412,05-06-2018 03:16,Male,June,Tue,03:16:00,5,18,Office to/from Home,0,Micro,0,67.88,4.16,72,5
1793413698,06-05-2018 01:23,Female,May,Sun,01:23:00,3,4,Office to/from Home,0,Mini,19.52,78.06,7.41,105,4
1870703124,25-05-2018 01:24,Male,May,Fri,01:24:00,4,4,Office to/from Home,0,Micro,15.88,63.52,6.04,85,4
1539201134,21-02-2018 22:38,Male,February,Wed,22:38:00,5,25,Office to/from Home,0,Micro,23.02,92.08,8.74,123.84,5
1644393205,27-03-2018 06:49,Male,March,Tue,06:49:00,62,98,Office Event,35,Mini,193.66,809.66,75.34,1079,4
1908175658,03-06-2018 16:38,Male,June,Sun,16:38:00,21,71,Other,0,Prime Play,120.34,353.02,39.32,513,5
1390900760,04-01-2018 12:13,Male,January,Thu,12:13:00,6,29,Customer/Partner Visit,0,Micro,28.75,115,10.93,155,5
1784780679,03-05-2018 21:33,Male,May,Thu,21:33:00,5,29,Office to/from Home,0,Mini,34.14,136.54,12.96,184,4
1805478949,08-05-2018 23:22,Male,May,Tue,23:22:00,24,55,Late Night Ride,0,Mini,100.48,401.92,38.18,541,3
1539270023,21-02-2018 23:32,Male,February,Wed,23:32:00,12,34,Office to/from Home,0,Micro,35.6,142.4,13.53,191.53,4
1941831597,11-06-2018 23:52,Male,June,Mon,23:52:00,15,44,Office to/from Home,35,Mini,47.03,223.1,19.63,290,3
1474429099,01-02-2018 21:27,Male,February,Thu,21:27:00,16,47,Late Night Ride,0,Mini,44.97,179.9,17.09,242,1
1395187600,05-01-2018 23:01,Female,January,Fri,23:01:00,4,6,Late Night Ride,0,Mini,22.03,88.13,8.38,119,2
1703468961,13-04-2018 21:55,Female,April,Fri,21:55:00,23,81,Office to/from Home,35,Micro,80.68,357.71,32.4,470.79,3
1897649867,31-05-2018 23:46,Male,May,Thu,23:46:00,2,3,Office to/from Home,0,Mini,21.17,84.67,8.04,114,5
1561931118,28-02-2018 21:28,Male,February,Wed,21:28:00,3,9,Office to/from Home,0,Mini,20.79,83.15,7.9,111.84,5
1643126208,26-03-2018 17:27,Female,March,Mon,17:27:00,4,9,Office Event,0,Mini,22.89,91.58,8.7,123.17,2
1951956883,14-06-2018 21:38,Male,June,Thu,21:38:00,12,51,Office to/from Home,0,Micro,60.69,242.75,23.06,327,1
1455166985,26-01-2018 02:11,Male,January,Fri,02:11:00,27,52,Office to/from Home,0,Micro,64.41,257.64,24.47,347,4
1785527517,04-05-2018 01:07,Male,May,Fri,01:07:00,1,2,Office to/from Home,0,Mini,17.1,68.4,6.5,92,5
